index,axis-0,axis-1
71.0,5076.657286017779,6913.82160845242
72.0,5224.915383585907,6878.707848502074
73.0,5380.976538920779,6833.840266343299
74.0,5527.283872047221,6785.0711553011515
75.0,5659.935854081861,6744.105102025747
76.0,5716.508022890752,6730.449750933946
77.0,5773.0801916996425,6728.49898649226
78.0,5831.603124950219,6677.779111008427
79.0,5888.17529375911,6630.960764407965
80.0,5991.565809168463,6595.847004457619
81.0,6108.6116756696165,6572.437831157388
82.0,6184.691488895366,6552.93018674053
83.0,6227.608306612456,6552.93018674053
84.0,6348.555701996981,6527.570248998614
85.0,6471.453861823192,6488.554960164896
86.0,6594.3520216494035,6424.179733589262
87.0,6732.8562970091025,6361.755271455313
88.0,6861.606750160371,6287.626222671249
89.0,6984.504909986582,6227.152524978987
90.0,7039.126314353787,6193.989529470326
91.0,7111.304598696165,6156.925005078294
92.0,7271.267282914408,6104.254365152775
93.0,7405.870029390735,6032.076080810397
94.0,7474.146784849741,5977.454676443192
95.0,7589.241886909209,5862.359574383723
96.0,7675.075522343388,5733.6091212324545
97.0,7747.253806685766,5632.169370264789
98.0,7799.924446611285,5505.369681555206
99.0,7817.481326586458,5444.8959838629435
100.0,7850.644322095119,5534.631148180494
101.0,7850.644322095119,5602.907903639501
102.0,7872.102730953663,5645.824721356589
103.0,7907.216490904011,5698.495361282108
104.0,8012.557770755049,5788.23052559966
105.0,8082.78529065574,5848.704223291923
106.0,8149.11128167306,5883.817983242268
107.0,8275.910970382643,5911.128685425872
108.0,8392.956836883797,5944.291680934532
109.0,8502.199645618206,5936.488623167788
110.0,8582.180987727328,5924.7840365176735
111.0,8644.605449861278,5889.670276567327
112.0,8671.91615204488,5846.753458850238
113.0,8730.439085295457,5840.90116552518
114.0,8827.977307379751,5817.491992224949
115.0,8898.204827280442,5778.476703391231
116.0,8982.087698272937,5755.067530091001
117.0,9005.496871573167,5786.279761157975
118.0,9042.5613959652,5792.132054483032
119.0,9075.724391473861,5805.7874055748325
120.0,9151.80420469961,5807.738170016519
121.0,9241.53936901716,5846.753458850237
122.0,9296.160773384365,5870.162632150467
123.0,9344.929408165666,5854.556516616981
124.0,9407.353870299614,5846.753458850238
125.0,9452.221452458387,5850.654987733609
126.0,9450.270688016702,5891.6210410090125
127.0,9471.729096875246,5938.439387609475
128.0,9508.79362126728,5942.340916492846
129.0,9532.20279456751,5899.424098775757
130.0,9588.774963376402,5911.1286854258715
131.0,9610.233372234947,5946.242445376218
132.0,9645.347132185292,5977.4546764431925
133.0,9692.165478785755,5971.602383118134
134.0,9715.574652085985,5916.980978750929
135.0,9740.934589827899,5915.030214309243
136.0,9842.374340795566,5916.980978750929
137.0,9846.275869678937,5955.996267584647
138.0,9900.897274046143,5959.897796468019
139.0,9932.109505113118,5928.685565401045
140.0,9961.370971738406,5903.325627659128
141.0,10017.943140547297,5909.177920984186
142.0,10076.466073797876,5901.374863217442
143.0,10146.693593698568,5885.768747683955
144.0,10253.985637991293,5852.605752175295
145.0,10328.114686775354,5868.211867708782
146.0,10410.046793326163,5815.541227783263
147.0,10476.372784343483,5778.47670339123
148.0,10575.861770869464,5737.510650115827
149.0,10634.38470412004,5758.969058974371
150.0,10667.547699628702,5790.181290041346
151.0,10745.578277296137,5788.23052559966
152.0,10770.938215038053,5762.870587857744
153.0,10882.13178821415,5758.969058974371
154.0,10987.473068065188,5733.609121232455
155.0,11065.503645732624,5718.003005698968
156.0,11172.795690025348,5692.643067957051
157.0,11580.714060590006,4757.898756663843
158.0,11670.449224907557,4701.326587854952
159.0,11736.775215924878,4619.394481304145
160.0,11713.366042624648,4519.905494778165
161.0,11666.547696024187,4424.318037135557
162.0,11781.642798083656,4375.548926093409
163.0,11885.033313493008,4318.976757284518
164.0,11992.325357785732,4244.847708500454
165.0,12052.799055477995,4166.817130833018
166.0,12087.91281542834,4036.1159132400635
167.0,12087.91281542834,3944.4299844808265
168.0,12050.848291036307,3930.7746333890245
169.0,12029.389882177762,3872.2517001384476
170.0,11990.374593344046,3846.8917623965312
171.0,11949.408540068642,3841.039469071474
172.0,12019.636059969334,3792.2703580293264
173.0,12070.355935453166,3759.1073625206664
174.0,12103.518930961827,3690.83060706166
175.0,12134.731162028802,3573.784740560506
176.0,12148.386513120602,3511.360278426558
177.0,12179.598744187577,3466.492696267783
178.0,12251.777028529956,3417.7235852256354
179.0,12314.201490663907,3384.5605897169753
180.0,12368.82289503111,3329.93918534977
181.0,12349.31525061425,3226.5486699404173
182.0,12312.250726222219,3091.945923464091
183.0,12279.08773071356,2959.2939414294497
184.0,12218.614033021297,2801.2820216528926
185.0,12179.598744187579,2709.5960928936556
186.0,12124.977339820372,2557.4364664421555
187.0,12084.011286544966,2426.7352488492006
188.0,12013.783766644274,2350.655435623451
189.0,11931.851660093467,2255.0679779808424
190.0,11896.73790014312,2227.75727579724
191.0,11881.131784609634,2175.086635871721
192.0,11870.471161742715,2129.857333597354
193.0,11796.342112958653,2018.6637604212583
194.0,11704.656184199419,1901.6178939201045
195.0,11607.117962115126,1807.9812007191817
196.0,11495.924388939033,1700.6891564264574
197.0,11359.370878021022,1605.1016987838486
198.0,11246.226540403242,1546.578765533272
199.0,11115.525322810288,1517.3172989079835
200.0,11062.854682884768,1497.8096544911245
201.0,10965.316460800474,1527.071121116413
202.0,10916.289216377652,1573.0903615431455
203.0,10867.520105335505,1612.1056503768634
204.0,10820.701758735044,1569.1888326597739
205.0,10848.012460918646,1491.158254992338
206.0,10881.175456427305,1459.946023925364
